Date,Open,High,Low,Close,Adj Close
1-Jul-22,3.7473,3.7579,3.7449,3.7473,3.7473
30-Jun-22,3.7473,3.7517,3.7464,3.7473,3.7473
29-Jun-22,3.7483,3.7529,3.7452,3.7483,3.7483
28-Jun-22,3.7487,3.7534,3.7462,3.7487,3.7487
27-Jun-22,3.7524,3.7537,3.7471,3.7524,3.7524
24-Jun-22,3.747,3.7532,3.7453,3.747,3.747
23-Jun-22,3.7475,3.753,3.7463,3.7475,3.7475
22-Jun-22,3.7477,3.7527,3.7468,3.7477,3.7477
21-Jun-22,3.7476,3.7521,3.7464,3.7476,3.7476
20-Jun-22,3.7518,3.7518,3.7468,3.7518,3.7518
17-Jun-22,3.7473,3.7519,3.7463,3.7473,3.7473
16-Jun-22,3.7472,3.7549,3.7465,3.7472,3.7472
15-Jun-22,3.7471,3.7485,3.7462,3.7471,3.7471
14-Jun-22,3.7468,3.7521,3.7442,3.7468,3.7468
13-Jun-22,3.751,3.7517,3.7457,3.751,3.751
10-Jun-22,3.7458,3.7514,3.7454,3.7458,3.7458
9-Jun-22,3.7465,3.7512,3.7452,3.7465,3.7465
8-Jun-22,3.7465,3.7472,3.7454,3.7465,3.7465
7-Jun-22,3.7457,3.7512,3.7454,3.7457,3.7457
6-Jun-22,3.7449,3.7509,3.7449,3.7449,3.7449
3-Jun-22,3.7459,3.7467,3.7449,3.7459,3.7459
2-Jun-22,3.7452,3.7521,3.7438,3.7452,3.7452
1-Jun-22,3.7457,3.7526,3.7427,3.7457,3.7457
31-May-22,3.7457,3.75,3.745,3.7457,3.7457
30-May-22,3.7502,3.7504,3.7452,3.7502,3.7502
27-May-22,3.7467,3.7502,3.7459,3.7467,3.7467
26-May-22,3.7463,3.7505,3.7458,3.7463,3.7463
25-May-22,3.7465,3.7735,3.746,3.7465,3.7465
24-May-22,3.7464,3.7506,3.7457,3.7464,3.7464
23-May-22,3.7503,3.7535,3.745,3.7503,3.7503
20-May-22,3.7466,3.7502,3.7458,3.7466,3.7466
19-May-22,3.7464,3.7502,3.7456,3.7464,3.7464
18-May-22,3.7462,3.7469,3.746,3.7462,3.7462
17-May-22,3.7464,3.7469,3.7451,3.7464,3.7464
16-May-22,3.7505,3.7509,3.7446,3.7505,3.7505
13-May-22,3.7461,3.7505,3.7456,3.7461,3.7461
12-May-22,3.7466,3.7509,3.7446,3.7466,3.7466
11-May-22,3.7463,3.7478,3.7453,3.7463,3.7463
10-May-22,3.7467,3.7474,3.7457,3.7467,3.7467
9-May-22,3.7505,3.7505,3.7456,3.7505,3.7505
6-May-22,3.7461,3.7523,3.7451,3.7461,3.7461
5-May-22,3.747,3.7505,3.7452,3.747,3.747
4-May-22,3.7461,3.7503,3.7456,3.7461,3.7461
3-May-22,3.7461,3.7469,3.73,3.7461,3.7461
2-May-22,3.7504,3.7504,3.7456,3.7504,3.7504
29-Apr-22,3.746,3.7508,3.7446,3.746,3.746
28-Apr-22,3.746,3.7566,3.7436,3.746,3.746
27-Apr-22,3.746,3.7504,3.7452,3.746,3.746
26-Apr-22,3.7461,3.7744,3.7451,3.7461,3.7461
25-Apr-22,3.7498,3.7511,3.7445,3.7498,3.7498
22-Apr-22,3.7459,3.7646,3.7449,3.7459,3.7459
21-Apr-22,3.7479,3.7524,3.7352,3.7479,3.7479
20-Apr-22,3.7454,3.751,3.7444,3.7454,3.7454
19-Apr-22,3.7505,3.7505,3.7425,3.7505,3.7505
18-Apr-22,3.7421,3.7496,3.7421,3.7421,3.7421
15-Apr-22,3.7457,3.7462,3.7428,3.7457,3.7457
14-Apr-22,3.7455,3.752,3.739,3.7455,3.7455
13-Apr-22,3.7455,3.7499,3.7451,3.7455,3.7455
12-Apr-22,3.7457,3.7497,3.7448,3.7457,3.7457
11-Apr-22,3.7493,3.7514,3.7447,3.7493,3.7493
8-Apr-22,3.7462,3.7502,3.745,3.7462,3.7462
7-Apr-22,3.7465,3.7505,3.7447,3.7465,3.7465
6-Apr-22,3.7468,3.7471,3.744,3.7468,3.7468
5-Apr-22,3.7466,3.751,3.7463,3.7466,3.7466
4-Apr-22,3.7508,3.7508,3.7437,3.7508,3.7508
1-Apr-22,3.7471,3.7508,3.746,3.7471,3.7471
31-Mar-22,3.7472,3.7521,3.7456,3.7472,3.7472
30-Mar-22,3.7479,3.7521,3.7445,3.7479,3.7479
29-Mar-22,3.7469,3.7522,3.7454,3.7469,3.7469
28-Mar-22,3.7507,3.7507,3.7459,3.7507,3.7507
25-Mar-22,3.7505,3.7511,3.7462,3.7505,3.7505
24-Mar-22,3.7472,3.7472,3.7458,3.7472,3.7472
23-Mar-22,3.7469,3.7508,3.7461,3.7469,3.7469
22-Mar-22,3.747,3.7509,3.7461,3.747,3.747
21-Mar-22,3.7509,3.7511,3.7458,3.7509,3.7509
18-Mar-22,3.7474,3.7516,3.7464,3.7474,3.7474
17-Mar-22,3.749,3.7512,3.7339,3.749,3.749
16-Mar-22,3.7457,3.7529,3.7457,3.7457,3.7457
15-Mar-22,3.7469,3.748,3.7463,3.7469,3.7469
14-Mar-22,3.7511,3.7511,3.7439,3.7511,3.7511
11-Mar-22,3.7471,3.7553,3.7463,3.7471,3.7471
10-Mar-22,3.747,3.7478,3.7462,3.7473,3.7473
9-Mar-22,3.7473,3.7514,3.7458,3.7473,3.7473
8-Mar-22,3.7476,3.752,3.7463,3.7476,3.7476
7-Mar-22,3.7516,3.7529,3.7463,3.7516,3.7516
4-Mar-22,3.7474,3.7518,3.7463,3.7476,3.7476
3-Mar-22,3.7471,3.7587,3.7468,3.7471,3.7471
2-Mar-22,3.7474,3.7515,3.7464,3.7468,3.7468
1-Mar-22,3.7472,3.7484,3.7467,3.7472,3.7472
28-Feb-22,3.7509,3.7516,3.7459,3.7509,3.7509
25-Feb-22,3.7476,3.7476,3.7462,3.7476,3.7476
24-Feb-22,3.7473,3.7536,3.7446,3.7473,3.7473
23-Feb-22,3.7513,3.7515,3.7461,3.7513,3.7513
22-Feb-22,3.7477,3.7482,3.7471,3.7477,3.7477
21-Feb-22,3.7516,3.7517,3.7465,3.7516,3.7516
18-Feb-22,3.75,3.75,3.7466,3.75,3.75
17-Feb-22,3.748,3.7518,3.7464,3.748,3.748
16-Feb-22,3.7479,3.7498,3.7473,3.7479,3.7479
15-Feb-22,3.7478,3.7539,3.7452,3.7478,3.7478
14-Feb-22,3.7511,3.7514,3.7471,3.7511,3.7511
11-Feb-22,3.7473,3.7479,3.747,3.7473,3.7473
10-Feb-22,3.747,3.7481,3.7468,3.747,3.747
9-Feb-22,3.7473,3.7477,3.7469,3.7475,3.7475
8-Feb-22,3.7473,3.7476,3.7467,3.7473,3.7473
7-Feb-22,3.7513,3.7513,3.7469,3.7513,3.7513
4-Feb-22,3.7472,3.7484,3.7469,3.7472,3.7472
3-Feb-22,3.7473,3.7483,3.7466,3.7473,3.7473
2-Feb-22,3.7471,3.7517,3.7469,3.7471,3.7471
1-Feb-22,3.7476,3.7514,3.747,3.7476,3.7476
31-Jan-22,3.7514,3.7519,3.7471,3.7514,3.7514
28-Jan-22,3.7513,3.7515,3.7461,3.7514,3.7514
27-Jan-22,3.7469,3.7517,3.7458,3.7469,3.7469
26-Jan-22,3.7463,3.752,3.7454,3.7463,3.7463
25-Jan-22,3.7506,3.7506,3.7464,3.7506,3.7506
24-Jan-22,3.7505,3.7505,3.7453,3.7505,3.7505
21-Jan-22,3.7455,3.7509,3.7455,3.7455,3.7455
20-Jan-22,3.7468,3.7508,3.746,3.7468,3.7468
19-Jan-22,3.7477,3.7539,3.7409,3.7477,3.7477
18-Jan-22,3.7489,3.767,3.7459,3.7489,3.7489
17-Jan-22,3.7511,3.7518,3.7476,3.7511,3.7511
14-Jan-22,3.749,3.753,3.7474,3.749,3.749
13-Jan-22,3.7489,3.7529,3.7475,3.7495,3.7495
12-Jan-22,3.7491,3.7532,3.7485,3.7491,3.7491
11-Jan-22,3.7494,3.7533,3.748,3.7494,3.7494
10-Jan-22,3.752,3.7537,3.7485,3.752,3.752
7-Jan-22,3.7502,3.7555,3.7463,3.7499,3.7499
6-Jan-22,3.7516,3.7568,3.7483,3.7516,3.7516
5-Jan-22,3.7512,3.7575,3.7506,3.7512,3.7512
4-Jan-22,3.75,3.7576,3.7479,3.75,3.75
3-Jan-22,3.7531,3.7554,3.7484,3.7531,3.7531
31-Dec-21,3.75,3.755,3.7485,3.75,3.75
30-Dec-21,3.75,3.7567,3.7465,3.75,3.75
29-Dec-21,3.7514,3.7551,3.7496,3.7514,3.7514
28-Dec-21,3.751,3.7562,3.7503,3.751,3.751
27-Dec-21,3.7439,3.7555,3.7439,3.7439,3.7439
24-Dec-21,3.7504,3.756,3.7495,3.7503,3.7503
23-Dec-21,3.75,3.7545,3.7473,3.75,3.75
22-Dec-21,3.7504,3.7548,3.7491,3.7504,3.7504
21-Dec-21,3.7497,3.7538,3.7491,3.7498,3.7498
20-Dec-21,3.7529,3.7536,3.7479,3.7529,3.7529
17-Dec-21,3.7509,3.7536,3.747,3.7509,3.7509
16-Dec-21,3.7469,3.7533,3.7469,3.7468,3.7468
15-Dec-21,3.7471,3.7516,3.7463,3.7471,3.7471
14-Dec-21,3.7469,3.7513,3.7448,3.7469,3.7469
13-Dec-21,3.7509,3.7515,3.7449,3.7509,3.7509
10-Dec-21,3.7467,3.749,3.7463,3.7467,3.7467
9-Dec-21,3.7469,3.751,3.7465,3.7469,3.7469
8-Dec-21,3.7469,3.7477,3.746,3.7469,3.7469
7-Dec-21,3.7471,3.7484,3.7462,3.7471,3.7471
6-Dec-21,3.7511,3.7512,3.7442,3.7511,3.7511
3-Dec-21,3.747,3.7512,3.7458,3.747,3.747
2-Dec-21,3.7467,3.7516,3.7465,3.7467,3.7467
1-Dec-21,3.7475,3.7514,3.7444,3.7475,3.7475
30-Nov-21,3.7472,3.7541,3.7411,3.7472,3.7472
29-Nov-21,3.7508,3.7518,3.7465,3.7465,3.7465
26-Nov-21,3.7467,3.7476,3.7464,3.7467,3.7467
25-Nov-21,3.7468,3.7486,3.7464,3.7468,3.7468
24-Nov-21,3.7469,3.7509,3.7465,3.7469,3.7469
23-Nov-21,3.7464,3.7513,3.7464,3.7464,3.7464
22-Nov-21,3.7507,3.7512,3.7464,3.7507,3.7507
19-Nov-21,3.7466,3.7515,3.7462,3.7466,3.7466
18-Nov-21,3.7463,3.7506,3.7459,3.7463,3.7463
17-Nov-21,3.7474,3.7507,3.7441,3.7474,3.7474
16-Nov-21,3.7464,3.7472,3.746,3.7464,3.7464
15-Nov-21,3.75,3.7564,3.7434,3.75,3.75
12-Nov-21,3.7461,3.7472,3.7457,3.7461,3.7461
11-Nov-21,3.7459,3.7472,3.7454,3.7459,3.7459
10-Nov-21,3.7498,3.75,3.7459,3.7498,3.7498
